2026-05-02 16:25:22 [info     ] redis_connected                url=redis://localhost:6379/0
2026-05-02 16:25:25 [info     ] gateway_request                method=GET path=/api/v1/flights target=http://localhost:8002/api/v1/flights trace_id=f7cf6a7f-dfe1-4e96-9d86-85e08089cf51
2026-05-02 16:25:25 [info     ] gateway_request                method=GET path=/api/v1/flights target=http://localhost:8002/api/v1/flights trace_id=43961cc5-be4a-4449-ba25-df8e663d0c9d
2026-05-02 16:25:25 [info     ] gateway_request                method=GET path=/api/v1/flights target=http://localhost:8002/api/v1/flights trace_id=8d660446-b6a9-4bbc-b37d-ad619fb338dc
2026-05-02 16:25:25 [info     ] gateway_request                method=GET path=/api/v1/flights target=http://localhost:8002/api/v1/flights trace_id=d3799140-0726-423b-a80a-5472eee7f10b
2026-05-02 16:25:25 [info     ] gateway_request                method=GET path=/api/v1/flights target=http://localhost:8002/api/v1/flights trace_id=5108e6b8-46c1-4c77-a632-be877190f758
2026-05-02 16:25:25 [info     ] gateway_request                method=GET path=/api/v1/flights target=http://localhost:8002/api/v1/flights trace_id=f008ef0d-35b4-4883-9e67-164636a6f854
2026-05-02 16:25:25 [info     ] gateway_request                method=GET path=/api/v1/flights target=http://localhost:8002/api/v1/flights trace_id=1568477f-cfc2-45ad-8855-d03e515afb86
2026-05-02 16:25:25 [info     ] gateway_request                method=GET path=/api/v1/flights target=http://localhost:8002/api/v1/flights trace_id=5d8df846-9935-4375-8313-15f71d689625
2026-05-02 16:25:25 [info     ] gateway_request                method=GET path=/api/v1/flights target=http://localhost:8002/api/v1/flights trace_id=0dca27aa-5bb2-47e9-9e3b-c8f9be764c60
2026-05-02 16:25:25 [info     ] gateway_request                method=GET path=/api/v1/flights target=http://localhost:8002/api/v1/flights trace_id=60cf52f5-3782-4956-81c1-bb51be777067
2026-05-02 16:25:25 [info     ] gateway_request                method=GET path=/api/v1/flights target=http://localhost:8002/api/v1/flights trace_id=584886ca-c575-48da-a7c2-ddb03099a5db
2026-05-02 16:25:25 [info     ] gateway_request                method=GET path=/api/v1/flights target=http://localhost:8002/api/v1/flights trace_id=68aedf12-52d4-465c-b128-ea32bc18e12a
2026-05-02 16:25:25 [info     ] gateway_request                method=GET path=/api/v1/flights target=http://localhost:8002/api/v1/flights trace_id=e6387d60-af52-4f97-8bcb-9c9f830aa17e
2026-05-02 16:25:26 [info     ] gateway_request                method=GET path=/api/v1/flights target=http://localhost:8002/api/v1/flights trace_id=37b46c21-beaf-486e-b434-127d16df61d9
2026-05-02 16:25:26 [info     ] gateway_request                method=GET path=/api/v1/flights target=http://localhost:8002/api/v1/flights trace_id=8898f3f2-86bd-4754-83bb-24a2fe478372
2026-05-02 16:25:26 [info     ] gateway_request                method=GET path=/api/v1/flights target=http://localhost:8002/api/v1/flights trace_id=9f5a5d3c-bca5-4017-8aaf-e942f084444b
2026-05-02 16:25:26 [info     ] gateway_request                method=GET path=/api/v1/flights target=http://localhost:8002/api/v1/flights trace_id=12f41667-45a0-476a-9fb4-b71405c5bbd2
2026-05-02 16:25:26 [info     ] gateway_request                method=GET path=/api/v1/flights target=http://localhost:8002/api/v1/flights trace_id=b5b9ecf6-a9c3-45c7-ac14-32f36502c6ce
2026-05-02 16:25:26 [info     ] gateway_request                method=GET path=/api/v1/flights target=http://localhost:8002/api/v1/flights trace_id=967df15b-629e-4150-a30e-6963e805115c
